date,npm_weekly,npm_total,pypi_weekly,packagist_monthly,packagist_total,rubygems_total,stars_js,stars_py,stars_php,stars_go,stars_rb,stars_total,jsdelivr_weekly,jsdelivr_monthly
2026-03-02,366,366,108,,,,,,,,,0,,
2026-03-09,29,395,40,,,,,,,,,3,,
2026-03-16,12,407,63,,,,,,,,,3,,
2026-03-23,14,421,227,,,,,,,,,3,,
2026-03-30,621,1210,493,3,3,1213,1,0,0,1,2,4,,
2026-04-06,1227,2437,900,2,3,2227,1,0,0,1,2,4,,
2026-04-13,127,2564,580,2,3,2296,1,0,0,1,2,4,,
2026-04-20,47,2611,206,2,3,2355,1,0,0,1,2,4,,
2026-04-27,496,3107,418,4,7,2939,1,0,0,1,2,4,,
2026-05-04,,,,,,,,,,,,,,
2026-05-11,144,3393,193,5,8,3255,2,0,0,1,2,5,,
2026-05-18,71,3464,166,5,8,3296,2,0,0,1,2,5,,
2026-05-25,357,3821,149,1,8,3582,2,0,0,1,2,5,,
2026-06-01,154,3975,181,9,16,3682,2,0,0,1,2,5,,
2026-06-08,101,4066,173,9,17,3730,2,0,0,1,2,5,,
2026-06-15,62,4128,2146,10,18,3778,2,0,0,1,2,5,,
2026-06-22,92,4220,446,13,21,3819,2,0,0,1,2,5,,
2026-06-29,73,4293,111,8,24,3853,2,0,0,1,2,5,,
2026-07-06,375,4668,181,10,27,4401,2,0,0,1,2,5,,
2026-07-13,203,4839,134,10,28,4516,4,0,0,1,2,7,,
2026-07-20,340,5179,80,13,34,4522,4,0,0,1,2,7,,
2026-07-27,218,5377,296,13,37,4556,5,0,0,1,2,8,,
2026-08-03,305,5682,82,14,41,4569,4,0,0,1,2,7,,
2026-08-10,1030,6712,127,13,41,4601,4,0,0,1,2,7,,
2026-08-17,1463,8155,684,11,45,5821,4,0,0,1,2,7,369,1414
2026-08-24,910,9065,563,22,59,7044,5,0,0,1,2,8,297,1383
2026-08-31,623,9534,369,24,62,7135,5,0,0,1,2,8,1743,2818
